#Energy(GeV)	CrossSection(nb)	StatError(nb)
3.049660	67.245686	5.921779
3.058710	65.843543	5.797867
3.082510	48.197547	9.719350
3.087590	43.222203	11.582714
3.088870	50.092043	4.864428
3.091780	45.562667	5.193236
3.094710	107.252233	21.246006
3.095450	487.501630	49.212747
3.095730	900.375647	51.967916
3.095840	1268.144369	68.523427
3.096200	1528.864026	47.807494
3.096900	1992.465313	2.496178
3.097230	2128.276308	84.341828
3.096990	1910.676412	64.269870
3.097230	1897.975000	86.855035
3.097650	1588.125171	48.008145
3.098360	982.910159	58.416274
3.098728	650.991671	27.501722
3.099060	484.959452	67.905323
3.101380	161.230105	30.011730
3.104000	117.344641	12.229525
3.105600	91.587644	17.255843
3.112070	71.048362	15.942543
3.119890	85.079624	25.358143
